Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Terrible job""",1.0," Dec 3, 2017",Past,Cashier,"San Francisco, CA",No,Neutral,Neutral,Part-time,,Good pay and that’s it. There’s not a lot of pros working in the restaurant industry. Unless you want to deal with being a “top performer” when you’re a student.,They expect you to be a top performer when you’re a student and they give me hours only on the weekend. Some stores provide you with slip ons and some you need to buy your own.,Understand that some of which you hire are still a student in high school and cannot keep up with your “top performer” standards especially when you guys decided to add new things to the cashier screen.
"""Service Manager""",4.0," Oct 28, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Free Food, Fun work environment","Long days, often short staffed",
"""sweaty work for decent pay""",3.0," Nov 11, 2017",Past,Anonymous Employee,"Fort Lauderdale, FL",Yes,Neutral,Neutral,Part-time,More than a year,"free drink &amp; meals in the restaurant, discounted if to go, 9/hour for 5 hours a couple times a day was nice too.","some co workers were pretty snotty, burned my fingers on the tortilla press constantly. got a rash on my hands from the soap or gloves or both.",make sure the person training/answering questions to the new person actually wants to. 1st week there and the girl training me got fed up when i'd ask a question.
"""Chipotle Not Recomended""",1.0," Dec 1, 2017",Past,Anonymous Employee,,No,No,Yes,Full-time,,The people at chipotle are very nice and the pay was great for the work put in.,"Management never on same page, you get fired simply for not being liked...",Amen to drop the ego
"""Great place""",5.0," Oct 26, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,I love fast paced work and this job definitely is.,None that I have found yet,None
"""How to survive at Chipotle""",4.0," Oct 25, 2017",Past,Crew Member,"Temple City, CA",Yes,Neutral,Neutral,Part-time,More than a year,Average benefits<br>Tuition reimbursement<br>Great coworkers<br>Make manager in 6-9 months<br>Flexible hours<br>Varying shifts<br>Opportunity for advancement,If you don't like fast paced environments this is not good<br>You will burn your fingers at first<br>Customers are rude<br>It can be stressful when running out of food<br>If you're not a people person not a good place,"Talk with your crew more, empower them."
"""great place to work""",5.0," Oct 23, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"good place to work, great benefits",boring work at times as wrapping burritos all day is repetitive.,Keep your employees on track as some are lazy at certain locatinos
"""Fast paced but a good environment""",5.0," Oct 23, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Easy and laid out work to follow,Peak hours are sink or float,Make sure plenty of training is done prior to an independent shift
"""Great Work Environment""",5.0," Oct 20, 2017",Current,Crew Member,,Yes,Yes,Yes,Part-time,More than a year,Great team environment<br>High Standards<br>Solid values,Hard work; you are never bored,Need a little focus on making sure employees don't feel bad for calling in sick.
"""Chipotle""",4.0," Oct 23, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,More than 3 years,"Good hours for part-time employment, many leadership opportunities and great food.","Crew deserves more than minimum wage, especially if working grill or prep.",
"""Pretty Good Casual Environment""",4.0," Oct 24, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Free food<br>Easy ways to promote<br>Good hourly<br>Fast work environment,"Management is very fickle<br>Policies affect entire company, rather than tailoring to one individual store",Be transparent about downsizing and thoroughly review all company procedures to staff.
"""Cliquey""",1.0," Nov 28, 2017",Past,Crew Member,"Woodbury, MN",Yes,Yes,Neutral,,Less than a year,The company itself has great values that I strongly agreed with.,"If you don't fit in with others there, don't expect to last long.<br>One of the Customer Service managers there would brag to me about how she loved to fire people.",Be forward with your employee's about their outlook rather than giving them impossible work schedules and firing them when they can't cope.
"""Front of the house""",5.0," Oct 21, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Fast pace, great food, growing company",none that I can think of,
"""Not amazing but not horrible""",4.0," Oct 22, 2017",Current,Crew Member,"Tallahassee, FL",Yes,Yes,Neutral,Part-time,More than a year,"Fast paced, flexible hours, many positions to learn and work, fun work environment, gained experience in food and customer service, above average starting pay and pay increases for crew, only promotes from within","Poor management based on region, recently has become more money oriented than people oriented, lack of organization",
"""Crew member""",2.0," Nov 4, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Free food, that’s about it","Management, hours, ridiculous rules changing every other week you could never keep up with.",
"""Eh...""",3.0," Nov 2, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"Friendly environment, great benefits, well paid","Very high-demanding, very bad for newcomers",
"""A day in a crew""",3.0," Nov 3, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,$25 free food every shift,Work in a opressively hot in a slave-like manner,
"""Awesome!""",5.0," Oct 18, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,-Free food during your work times<br>- great pay for a first job<br>-they offer benefits and tuition reimbursement,-not a major con but it can be exhausting running around at times,none
"""Excellent""",5.0," Oct 19, 2017",Current,Crew Member,"Greenacres, FL",No,No,Neutral,Part-time,Less than a year,The food quality and free meals every employee shift. They have very high standards and their food has no perservatives,It gets very busy and hectic during workers at other jobs lunch break hours or when everyone gets off their job,Hire more crew members for when it gets hectic
"""best place to work""",5.0," Oct 19, 2017",Past,Front Line/Cashier,"Syracuse, NY",Yes,No,Yes,Part-time,More than a year,supportive staff<br>free meals<br>good hours and pay<br>never bored,can be mentally and physically draining,keep doing what you're doing
"""Working at chipotle; horrible""",1.0," Nov 24, 2017",Past,Crew Member,"Trevose, PA",No,Neutral,Neutral,Part-time,,"Ok starting rate, your availability, good food",Worst management ever! The managers all around the Philadelphia area are bad and it's like high school there. They literally hire and fire people everyday based on if they like you or if you do what they want.,Be more professional! Don't just fire people if you don't like them.
"""Good""",2.0," Nov 3, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,it was very very good,it was not very bad at all,
"""It was ok""",4.0," Oct 18, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,Free selected food and drink,Pay is low compared to the high standard living of New York,Increase pay
"""Too fast paced""",2.0," Oct 31, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,Less than a year,Free food<br>Good vibes in restaurant,Having to do 3 jobs at once<br>Got stuck on dishes,Respect your cashiers more
"""Service Manager""",3.0," Oct 30, 2017",Past,Anonymous Employee,,No,Neutral,Yes,Part-time,,"It really was like another family. Pay is above the standard for QSR, and vacation time adds up quickly. The mission behind the company is one I truly believe in.","Work/life balance, you get that at most restaurants but at Chipotle, you would miss your family for weeks at a time sometimes. Long hours, no breaks, ""empowered"" employees (which basically means a team of know it alls that want everyone else to do their work).",Recognize your employees (especially management) days off. You will get less productive employees if you don't allow them to actually have time off. Honor vacation time.
"""Great first job.""",5.0," Oct 15, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Free meal, friendly coworkers and always doing something.",schedule changes a lot and some customers are rude and picky.,Nothing.
"""Area Manager""",2.0," Oct 30, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,Great people at the store level. Fantastic benefits.,Pay structure is terrible. Stressful and everything is made more difficult than it needs to be.,
"""Crew Member""",3.0," Oct 30, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Strong sense of teamwork and team values,Very high expectations and high stress,
"""Fast, Easy, Simple""",5.0," Oct 14, 2017",Current,Chipotle Crew Member,,Neutral,No,Neutral,Part-time,Less than a year,"Crew is friendly, managers are friendly, and they are very flexible with school hours. Free food &amp; tuition reimbursement is amazing. So many benefits.","I just started, but the only cons i can think of is some employees don't get proper training and become a hitch in the process","Keeps doing what you're doing. Everything is wonderful, staff is friendly, and the food really is 'food with integrity'"
"""Hard worker""",4.0," Oct 14, 2017",Current,Anonymous Employee,"Roseville, MN",No,No,Neutral,Full-time,Less than a year,"Overall community, consistent money flow, and earn savings",Pair up hours with school schedule,
"""Chipotle Mexican Grille Crew Member""",5.0," Oct 13, 2017",Past,Crew Member/Grill Cook,"Westport, CT",Yes,Yes,Yes,Part-time,More than a year,Learn a lot about teamwork and working in a fast-paced environment.,"When your team is not up to speed, it can lead to late nights closing.",Challenge employees to know more positions among work activities.
"""Cool co-workers, inconsistent training, customers hate portion sizes""",2.0," Oct 29, 2017",Current,Crew,"Orlando, FL",No,Neutral,Yes,Full-time,Less than a year,"Friendly people, good managers, customers are usually nicer in the morning shifts","Rude customers because new management changes portions and customers get upset with them, some crew get paid more than others and do less than the ones who are paid less, training is very inconsistent",Certify trainers and be consistent on recipes/portions. Give less hours to crew who get paid more and work less than others.
"""Just find a good/ new location and you'll love it""",4.0," Oct 14, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Great starting pay, just find a good location. It will make or break your entire experience. Excellent opportunity for advancement though.",Some stores are older and are basically falling apart.,
